brand,count
acura,4
alfa-romeo,3
audi,28
bentley,0
bmw,28
brilliance,0
buick,2
byd,0
cadillac,1
chery,13
chevrolet,33
chrysler,2
citroen,4
dacia,3
daewoo,15
daihatsu,0
dodge,5
ferrari,0
fiat,11
ford,45
geely,11
gmc,2
great-wall,2
honda,10
hummer,0
hyundai,29
infiniti,0
isuzu,0
jac,0
jaguar,1
jeep,10
kia,19
lancia,1
land-rover,4
lexus,10
lifan,0
lincoln,4
maybach,0
mazda,14
mercedes-benz,22
mercury,0
mini,0
mitsubishi,34
nissan,43
opel,29
peugeot,10
pontiac,0
porsche,1
renault,14
rolls-royce,0
rover,0
saab,1
seat,1
skoda,19
smart,2
ssang-yong,2
subaru,5
suzuki,4
tesla,10
toyota,41
volkswagen,75
volvo,5
moskvich-azlk,6
zaz,19
gaz,12
vaz,51
uaz,1
drugaja-model,20
